gene,log2FC,pvalue
1554696_s_at,2.71645978350233,4.7791292719886844e-18
1554768_a_at,2.5617736146889554,1.0212810817994429e-12
1554795_a_at,1.010636234584818,1.4021931740084123e-05
1554830_a_at,1.5092610084954776,3.9510149613659663e-11
1554897_s_at,1.1956896574403943,2.0162113192922172e-09
1554930_a_at,-1.2669427404768427,2.9555099674519896e-09
1554966_a_at,-1.3945333954508063,4.645255794040044e-08
1555203_s_at,-1.8492376705946842,2.9049803405813513e-07
1555270_a_at,-1.8297272101945747,5.761041662306819e-20
1555281_x_at,1.0036860098657154,6.875827530002387e-13
1555355_a_at,1.1311165141134563,4.05562067294302e-08
1555416_a_at,-1.0095117210194582,0.00212415668152838
1555460_a_at,-2.4661833104960253,2.9788535195115494e-11
1555487_a_at,2.2946241107152643,9.113641679947734e-18
1555725_a_at,-1.4490873636612775,2.2458631112103137e-06
1555745_a_at,1.0967420334338183,0.04311133732727383
1555756_a_at,1.6979087448616053,1.5686448704263026e-07
1555758_a_at,1.9032405946834734,2.877346196841312e-06
1555759_a_at,1.374472414360099,0.0004959051124518835
1555772_a_at,1.3391075911208552,1.784422628460578e-10
1555778_a_at,-1.8052828912030687,4.47352256530992e-12
1555793_a_at,1.1361107180049332,1.8737808739946566e-08
1555800_at,-1.3045636530556313,0.0012809025215041927
1555801_s_at,-1.1906689257330783,0.0013879772287201822
1555830_s_at,1.1190722526719652,1.8475713820020051e-07
1555842_at,-1.0211800246642921,5.04224220860507e-07
1555905_a_at,1.1787194847903537,2.382986290980326e-08
1555929_s_at,1.067819542340367,1.5685914667913154e-06
1555982_at,-2.384609575226089,7.079562205309418e-23
1555989_at,-1.2231445930391889,0.00322781833626544
1555993_at,-1.379456577144424,9.440972457220594e-07
1556006_s_at,-1.018177281446972,8.434363182001923e-09
1556012_at,-1.513208410523431,5.821619692287454e-05
1556055_at,1.6097472814469729,5.038304625026022e-15
1556064_at,1.2257629432721284,6.682467857063684e-15
1556183_at,1.0087221869005214,0.00010800768629219424
1556194_a_at,1.2738844477939173,1.1722415340056788e-08
1556221_a_at,-1.3300655686489455,8.427662967957335e-07
1556253_s_at,-1.2243489695807073,1.6799130669804593e-05
1556277_a_at,-1.141498736640175,1.7886685127053705e-07
1556345_s_at,-1.8545966127706208,6.952523800428164e-14
1556420_s_at,-1.30701213483146,1.3148603914837544e-10
1556473_at,-1.1744567443135114,4.4318587725498724e-06
1556474_a_at,-3.626635502877501,2.5494187375853726e-15
1556486_at,1.111521378459852,5.180677119023004e-08
1556551_s_at,-2.310518492737738,1.7280557115501479e-09
